    tile,    year,     doy,    hour,     cID,          sp,       layer,     density,         dbh,      height,      Acrown,          bl,         LAI,         GPP,         NPP,      Transp,      Resp_r, Grow_Resp_r,    Growth_r,      Resp_s, Grow_Resp_s,    Growth_s,  Phloem_KgC,         vpd,          gs,       kstem, capacitance,       Psi_L,       Psi_W,      W_leaf,      W_stem,
       1,     166,       2,       1,       1,       3,       1,     10.0000,      1.3781,     42.2610,    242.6619,     61.0693,      3.4953,      0.0000,     -0.0305,      3.8131,      0.1339,      5.4490,     10.8979,      1.1831,     27.5379,     55.0758,      0.0188,      0.0031,      0.0156,      0.1950,   7454.3335,-422731.2188,   -946.3148,    537.8019,  24848.8848,
       1,     166,       2,       2,       1,       3,       1,     10.0000,      1.3781,     42.2610,    242.6619,     61.0693,      3.4953,      0.0000,     -0.0305,      2.9953,      0.1319,      5.4490,     10.8979,      1.1653,     27.5379,     55.0758,      0.0188,      0.0024,      0.0156,      0.1950,   7454.6655,-420698.9375,   -945.5735,    537.9390,  24848.8867,
       1,     166,       2,       3,       1,       3,       1,     10.0000,      1.3781,     42.2610,    242.6619,     61.0693,      3.4953,      0.0000,     -0.0306,      2.2355,      0.1351,      5.4490,     10.8979,      1.1940,     27.5379,     55.0758,      0.0188,      0.0018,      0.0156,      0.1950,   7454.6665,-419457.3125,   -945.3042,    538.0225,  24848.8867,
       1,     166,       2,       4,       1,       3,       1,     10.0000,      1.3781,     42.2610,    242.6619,     61.0693,      3.4953,      0.0000,     -0.0305,      2.3529,      0.1327,      5.4490,     10.8979,      1.1724,     27.5379,     55.0758,      0.0188,      0.0019,      0.0156,      0.1950,   7454.6665,-418361.1250,   -945.0679,    538.0963,  24848.8867,
       1,     166,       2,       5,       1,       3,       1,     10.0000,      1.3781,     42.2610,    242.6619,     61.0693,      3.4953,      0.0000,     -0.0306,      2.2058,      0.1351,      5.4490,     10.8979,      1.1940,     27.5379,     55.0758,      0.0188,      0.0018,      0.0156,      0.1950,   7454.6665,-418417.9688,   -945.0764,    538.0924,  24848.8867,
       1,     166,       2,       6,       1,       3,       1,     10.0000,      1.3781,     42.2610,    242.6619,     61.0693,      3.4953,      0.0000,     -0.0306,      2.0539,      0.1365,      5.4490,     10.8979,      1.2061,     27.5379,     55.0758,      0.0188,      0.0017,      0.0156,      0.1950,   7454.6665,-418231.6875,   -945.0335,    538.1050,  24848.8867,
       1,     166,       2,       7,       1,       3,       1,     10.0000,      1.3781,     42.2610,    242.6619,     61.0693,      3.4953,      0.0000,     -0.0307,      1.9150,      0.1376,      5.4490,     10.8979,      1.2159,     27.5379,     55.0758,      0.0188,      0.0015,      0.0156,      0.1950,   7454.6665,-418017.7812,   -944.9848,    538.1193,  24848.8867,
       1,     166,       2,       8,       1,       3,       1,     10.0000,      1.3781,     42.2610,    242.6619,     61.0693,      3.4953,      0.0014,     -0.0290,      2.1482,      0.1305,      5.4490,     10.8979,      1.1535,     27.5379,     55.0758,      0.0188,      0.0017,      0.0156,      0.1950,   7454.6665,-417818.6562,   -944.9395,    538.1328,  24848.8867,
       1,     166,       2,       9,       1,       3,       1,     10.0000,      1.3781,     42.2610,    242.6619,     61.0693,      3.4953,      0.0764,      0.0457,     12.4928,      0.1384,      5.4490,     10.8979,      1.2233,     27.5379,     55.0758,      0.0188,      0.0017,      0.0914,      0.1950,   7454.6665,-418104.2812,   -944.9965,    538.1136,  24848.8867,
       1,     166,       2,      10,       1,       3,       1,     10.0000,      1.3781,     42.2610,    242.6619,     61.0693,      3.4953,      0.1526,      0.1212,     30.9068,      0.1589,      5.4490,     10.8979,      1.4041,     27.5379,     55.0758,      0.0188,      0.0019,      0.2020,      0.1950,   7454.6665,-431576.5625,   -947.8630,    537.2073,  24848.8867,
